Year,Life expectancy ,Adult Mortality,infant deaths,Alcohol,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP, thinness  1-19 years,Income composition of resources,Schooling,Status_Developed,Status_Developing
2015,65.0,263.0,62,0.01,6.0,8.16,65.0,0.1,584.25921,17.2,0.479,10.1,0,1
2014,59.9,271.0,64,0.01,58.0,8.18,62.0,0.1,612.696514,17.5,0.476,10.0,0,1
2013,59.9,268.0,66,0.01,62.0,8.13,64.0,0.1,631.744976,17.7,0.47,9.9,0,1
2012,59.5,272.0,69,0.01,67.0,8.52,67.0,0.1,669.959,17.9,0.463,9.8,0,1
2011,59.2,275.0,71,0.01,68.0,7.87,68.0,0.1,63.537231,18.2,0.454,9.5,0,1
2010,58.8,279.0,74,0.01,66.0,9.2,66.0,0.1,553.32894,18.4,0.448,9.2,0,1
2009,58.6,281.0,77,0.01,63.0,9.42,63.0,0.1,445.8932979,18.6,0.434,8.9,0,1
2008,58.1,287.0,80,0.03,64.0,8.33,64.0,0.1,373.3611163,18.8,0.433,8.7,0,1
2007,57.5,295.0,82,0.02,63.0,6.73,63.0,0.1,369.835796,19.0,0.415,8.4,0,1
2006,57.3,295.0,84,0.03,58.0,7.43,58.0,0.1,272.56377,19.2,0.405,8.1,0,1
2005,57.3,291.0,85,0.02,58.0,8.7,58.0,0.1,25.2941299,19.3,0.396,7.9,0,1
2004,57.0,293.0,87,0.02,5.0,8.79,5.0,0.1,219.1413528,19.5,0.381,6.8,0,1
2003,56.7,295.0,87,0.01,41.0,8.82,41.0,0.1,198.7285436,19.7,0.373,6.5,0,1
2002,56.2,3.0,88,0.01,36.0,7.76,36.0,0.1,187.84595,19.9,0.341,6.2,0,1
2001,55.3,316.0,88,0.01,35.0,7.8,33.0,0.1,117.49698,2.1,0.34,5.9,0,1
2000,54.8,321.0,88,0.01,24.0,8.2,24.0,0.1,114.56,2.3,0.338,5.5,0,1
2015,77.8,74.0,0,4.6,99.0,6.0,99.0,0.1,3954.22783,1.2,0.762,14.2,0,1
2014,77.5,8.0,0,4.51,98.0,5.88,98.0,0.1,4575.763787,1.2,0.761,14.2,0,1
2013,77.2,84.0,0,4.76,99.0,5.66,99.0,0.1,4414.72314,1.3,0.759,14.2,0,1
2012,76.9,86.0,0,5.14,99.0,5.59,99.0,0.1,4247.61438,1.3,0.752,14.2,0,1
2011,76.6,88.0,0,5.37,99.0,5.71,99.0,0.1,4437.17868,1.4,0.738,13.3,0,1
2010,76.2,91.0,1,5.28,99.0,5.34,99.0,0.1,494.358832,1.4,0.725,12.5,0,1
2009,76.1,91.0,1,5.79,98.0,5.79,98.0,0.1,4114.136545,1.5,0.721,12.2,0,1
2008,75.3,1.0,1,5.61,99.0,5.87,99.0,0.1,437.539647,1.6,0.713,12.0,0,1
2007,75.9,9.0,1,5.58,99.0,6.1,98.0,0.1,363.13685,1.6,0.703,11.6,0,1
2006,74.2,99.0,1,5.31,97.0,5.86,97.0,0.1,35.1293,1.7,0.696,11.4,0,1
2005,73.5,15.0,1,5.16,97.0,6.12,98.0,0.1,279.142931,1.8,0.685,10.8,0,1
