Year,Adult Mortality,infant deaths,Alcohol,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP, thinness  1-19 years,Income composition of resources,Schooling,Status_Developed,Status_Developing,Life expectancy 
2002,169.0,6,3.09,95.0,7.28,95.0,1.5,1132.8721,2.7,0.561,10.1,0,1,71.6
2007,161.0,0,3.24,96.0,4.24,97.0,0.1,6574.654338,7.5,0.72,13.5,0,1,72.9
2002,71.0,0,6.9,99.0,9.23,99.0,0.1,29571.7446,1.3,0.88,15.9,1,0,79.9
2012,235.0,30,0.87,71.0,3.46,7.0,0.4,443.9611,7.4,0.506,10.2,0,1,64.3
2002,43.0,43,0.36,31.0,8.33,25.0,5.0,22.854821,11.1,0.303,5.1,0,1,48.1
2004,34.0,41,1.46,81.0,3.96,8.0,3.2,423.1936389,8.4,0.491,7.7,0,1,58.3
2005,9.0,0,11.84,99.0,7.95,99.0,0.1,8289.69641,1.0,0.874,13.5,1,0,78.8
2012,29.0,8,0.01,8.0,3.36,8.0,1.2,1364.283745,8.3,0.491,7.8,0,1,62.5
2010,64.0,1,10.52,92.0,9.2,92.0,0.1,51874.848,0.7,0.927,19.5,1,0,81.9
2008,87.0,0,10.47,99.0,9.6,99.0,0.1,48424.58927,0.8,0.874,15.8,1,0,79.5
2002,164.0,207,0.01,83.0,2.59,83.0,0.1,4.6135745,2.5,0.476,7.7,0,1,66.3
2010,166.0,6,6.02,85.0,4.6,88.0,0.9,5451.6696,3.3,0.697,12.9,0,1,72.7
2005,138.0,2,0.01,98.0,2.71,98.0,0.1,8171.361651,5.5,0.748,15.7,0,1,71.9
2000,153.0,3,8.4,98.0,5.5,98.0,0.1,4492.72764,2.5,0.777,14.6,1,0,73.7
2008,258.0,8,7.6,99.0,3.65,99.0,0.1,8513.564645,2.4,0.758,14.6,0,1,66.6
2013,67.0,2,8.2,91.0,1.67,91.0,0.1,52413.72116,0.5,0.909,15.9,0,1,81.8
2004,336.0,3,6.28,48.0,2.4,38.0,4.4,685.34897,1.0,0.553,8.5,0,1,54.1
2014,23.0,12,0.01,98.0,7.53,98.0,0.4,76.5699517,5.8,0.488,10.8,0,1,65.7
2003,437.0,74,1.49,75.0,4.45,73.0,14.5,436.6875357,8.8,0.45,8.2,0,1,52.4
2001,519.0,30,4.21,38.0,11.83,38.0,1.5,227.779471,1.1,0.302,7.0,0,1,41.0
2009,368.0,30,2.3,93.0,4.73,94.0,9.1,1139.11233,6.7,0.518,11.6,0,1,57.4
2006,125.0,1,5.72,98.0,7.0,88.0,0.1,5348.518399,2.1,0.744,12.9,0,1,76.2
2013,281.0,10,0.01,8.0,4.78,79.0,0.8,229.95364,1.3,0.506,10.0,0,1,62.4
2003,321.0,11,0.59,62.0,6.79,68.0,1.4,588.3582595,1.5,0.433,7.2,0,1,59.6
2009,172.0,0,2.88,45.0,5.4,49.0,0.1,335.112838,0.2,0.691,12.9,0,1,76.0
2012,189.0,0,6.66,98.0,5.45,98.0,0.1,4673.63848,3.5,0.702,12.5,0,1,69.4
2011,51.0,0,8.13,95.0,8.65,95.0,0.1,46.217,0.9,0.894,18.6,1,0,82.1
2011,98.0,1,3.41,82.0,9.73,85.0,0.1,9186.59639,1.8,0.752,13.4,0,1,79.0
2011,249.0,156,1.32,7.0,6.55,65.0,1.4,354.8463544,1.9,0.411,8.2,0,1,62.6
2006,141.0,1,4.01,87.0,4.58,87.0,0.1,2158.299,2.0,0.692,11.2,0,1,72.9
2007,132.0,2,0.01,98.0,2.63,98.0,0.1,1138.56661,5.5,0.756,15.1,0,1,72.5
2001,34.0,60,0.51,56.0,6.39,49.0,2.4,36.8473237,1.8,0.297,4.6,0,1,55.0
2002,283.0,25,1.23,76.0,4.27,75.0,2.1,418.6985763,9.3,0.407,7.3,0,1,55.6
2012,339.0,73,0.01,82.0,7.58,78.0,4.6,647.74741,5.8,0.477,10.0,0,1,60.0
2009,96.0,1,4.07,8.0,9.69,86.0,0.1,689.396224,1.9,0.747,13.1,0,1,79.2
2014,375.0,61,0.01,79.0,6.98,79.0,4.1,623.2871141,3.6,0.409,9.1,0,1,56.7
2002,15.0,1,3.73,98.0,6.3,98.0,0.1,1453.642777,2.0,0.67,10.7,0,1,73.3
2002,145.0,20,0.36,86.0,3.73,86.0,0.1,1774.33673,6.3,0.653,11.1,0,1,71.6
2005,4.0,58,5.03,79.0,4.75,8.0,7.4,952.1872484,6.9,0.456,8.3,0,1,52.8
2005,67.0,0,6.41,94.0,8.83,92.0,0.1,15835.34667,0.7,0.805,14.8,1,0,79.0
2009,137.0,7,3.87,91.0,5.58,94.0,0.1,4255.56571,1.3,0.702,13.1,0,1,75.1
2011,58.0,0,7.4,98.0,11.7,98.0,0.1,59593.28711,1.4,0.901,16.0,1,0,81.7
2003,25.0,3,0.44,55.0,2.48,55.0,0.1,471.4565823,12.1,0.485,9.8,0,1,61.0
