Year,Adult Mortality,infant deaths,Alcohol,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP, thinness  1-19 years,Income composition of resources,Schooling,Status_Developed,Status_Developing,Life expectancy 
2008,82.0,0,1.37,98.0,1.87,97.0,0.1,82967.37228,5.0,0.825,11.7,0,1,76.8
2001,344.0,48,4.56,62.0,4.85,62.0,3.6,235.4912324,11.2,0.0,3.5,0,1,56.0
2010,211.0,7,2.48,96.0,1.99,96.0,0.1,4439.23,3.2,0.0,10.6,0,1,65.8
2010,279.0,43,4.55,9.0,7.17,91.0,1.0,575.4464527,9.0,0.365,6.3,0,1,57.5
2004,497.0,55,6.96,73.0,7.93,74.0,29.7,4863.51688,12.6,0.611,12.9,0,1,53.7
2001,84.0,2,9.86,95.0,7.24,96.0,0.1,15323.6114,0.6,0.825,15.7,1,0,79.4
2001,254.0,1,10.74,99.0,6.62,99.0,0.1,1244.373185,2.6,0.681,13.3,0,1,67.7
2010,291.0,29,0.2,62.0,4.55,64.0,2.2,438.7513346,8.2,0.38,8.3,0,1,57.8
2014,19.0,0,0.01,99.0,4.49,99.0,0.1,546.3728,4.0,0.727,15.2,0,1,69.7
2005,37.0,11,0.84,61.0,6.42,72.0,1.5,77.5773486,1.4,0.446,7.9,0,1,64.0
2002,699.0,2,6.41,97.0,6.47,97.0,34.6,355.618382,11.4,0.558,11.9,0,1,46.0
2010,154.0,54,7.52,99.0,8.27,99.0,0.1,11224.1548,2.9,0.716,13.8,0,1,73.8
2007,559.0,37,1.18,88.0,9.31,87.0,19.3,32.2227274,7.1,0.387,9.7,0,1,48.5
2012,138.0,0,0.01,65.0,3.7,64.0,0.1,3158.58688,1.5,0.592,10.8,0,1,71.4
2013,57.0,0,1.83,97.0,4.53,97.0,0.1,5629.18914,2.2,0.92,15.4,1,0,82.7
2003,71.0,1,9.97,92.0,8.32,93.0,0.1,23465.38559,0.7,0.905,20.6,1,0,83.0
2006,85.0,0,10.98,99.0,9.17,98.0,0.1,38852.3613,0.8,0.865,15.7,1,0,79.4
2013,144.0,0,8.25,98.0,6.15,97.0,0.1,7955.615985,3.8,0.746,15.8,0,1,73.3
